ticker,matched_market_date,sentiment_mean,close,daily_return,article_count,ai_innovation,collaboration,leadership,regulation,litigation
MSFT,2022-10-11,0.2827,225.41,-0.0168,1,0,1,0,0,0
MSFT,2022-10-12,0.05165,225.75,0.0015,2,1,0,0,0,0
MSFT,2022-10-17,0.174,237.53,0.0392,1,0,0,1,0,0
MSFT,2022-10-18,0.4885,238.5,0.0041,1,0,0,0,1,0
MSFT,2022-10-20,0.018799999999999997,236.15,-0.0014,2,0,0,1,0,0
MSFT,2022-10-21,0.401,242.12,0.0253,2,1,1,0,0,0
MSFT,2022-10-24,0.0338,247.25,0.0212,1,0,0,0,0,0
MSFT,2022-10-25,0.2912,250.66,0.0138,2,1,1,0,0,0
MSFT,2022-10-27,0.10015000000000002,226.75,-0.0198,2,0,1,0,0,0
MSFT,2022-10-28,0.3983,235.87,0.0402,1,0,1,0,0,0
MSFT,2022-10-31,0.3888,232.13,-0.0159,1,1,0,0,0,0
MSFT,2022-11-03,0.4162,214.25,-0.0266,1,0,1,0,0,0
MSFT,2022-11-08,0.3643,228.87,0.0044,1,1,0,0,0,0
MSFT,2022-11-09,0.9052,224.51,-0.0191,1,0,0,0,0,0
MSFT,2022-11-14,0.2788,241.55,-0.0225,1,1,0,0,0,0
MSFT,2022-11-15,0.2813,241.97,0.0017,1,1,0,0,0,0
MSFT,2022-11-16,0.20384999999999998,241.73,0.0018,2,1,0,1,0,0
MSFT,2022-11-17,0.3807,241.68,-0.0002,1,1,0,0,0,0
MSFT,2022-11-22,0.4289,245.03,0.0123,1,0,0,1,0,0
MSFT,2022-12-01,0.3157,254.69,-0.0018,2,1,1,0,0,0
MSFT,2022-12-02,0.4005,255.02,0.0013,1,1,0,0,0,0
MSFT,2022-12-05,-0.05655,250.2,-0.0189,2,0,0,0,0,0
MSFT,2022-12-06,-0.2011,245.12,-0.0203,1,0,0,0,0,1
MSFT,2022-12-07,0.16983333333333336,244.37,-0.0031,3,0,2,0,0,1
MSFT,2022-12-08,0.4646333333333333,247.4,0.0124,3,1,1,0,0,1
MSFT,2022-12-09,0.36619999999999997,245.42,-0.008,2,1,1,0,0,0
MSFT,2022-12-13,0.3244,256.92,0.0175,1,0,0,0,0,1
MSFT,2022-12-14,0.09425,257.22,0.0012,2,0,1,0,0,0
MSFT,2022-12-15,0.3868,249.01,-0.0319,2,0,0,2,0,0
MSFT,2022-12-16,0.7826,244.69,-0.0173,1,1,0,0,0,0
MSFT,2022-12-19,0.3831,240.45,-0.0173,1,1,0,0,0,0
MSFT,2022-12-21,0.1228,244.43,0.0109,1,0,0,0,1,0
MSFT,2022-12-23,0.2354,238.73,0.0023,1,0,0,1,0,0
MSFT,2022-12-27,0.111,236.96,-0.0074,1,1,0,0,0,0
MSFT,2022-12-28,0.1315,234.53,-0.0103,1,0,0,1,0,0
MSFT,2022-12-30,0.2412,239.82,-0.0049,1,0,1,0,0,0
MSFT,2023-01-17,0.3419,240.35,0.0047,1,0,0,0,0,1
MSFT,2023-01-23,0.7011,242.58,0.0098,1,0,1,0,0,0
MSFT,2023-01-26,-0.4142,248.0,0.0307,1,1,0,0,0,0
MSFT,2023-02-07,0.31105000000000005,267.56,0.042,2,2,0,0,0,0
MSFT,2023-02-14,0.4934,272.17,0.0031,1,0,0,0,1,0
MSFT,2023-02-21,0.3497,252.67,-0.0209,1,1,0,0,0,0
MSFT,2023-02-22,0.0142,251.51,-0.0046,1,0,0,0,0,0
MSFT,2023-03-03,-0.0642,255.29,0.0166,1,0,0,1,0,0
MSFT,2023-03-06,0.21964999999999998,256.87,0.0062,2,0,0,0,0,0
MSFT,2023-03-07,0.3097,254.15,-0.0106,1,1,0,0,0,0
MSFT,2023-03-09,0.4285,252.32,-0.0054,1,1,0,0,0,0
MSFT,2023-03-16,0.2932,276.2,0.0405,1,0,1,0,0,0
MSFT,2023-03-20,0.4072,272.23,-0.0258,1,1,0,0,0,0
MSFT,2023-03-22,0.4042,272.29,-0.0054,1,0,0,0,1,0
MSFT,2023-04-03,0.22245,287.23,-0.0037,2,0,0,2,0,0
MSFT,2023-04-06,0.2248,291.6,0.0255,1,0,1,0,0,0
MSFT,2023-04-28,0.3958,307.26,0.008,1,0,1,0,0,0
MSFT,2023-05-03,0.2368,304.4,-0.0033,3,1,1,1,0,0
MSFT,2023-05-15,0.3077,309.46,0.0016,1,1,0,0,0,0
MSFT,2023-05-17,0.1592,314.0,0.0095,1,0,0,0,0,0
MSFT,2023-05-18,0.35663333333333336,318.52,0.0144,3,3,0,0,0,0
MSFT,2023-05-23,0.4867,315.26,-0.0184,1,1,0,0,0,0
MSFT,2023-06-01,0.354,332.58,0.0128,1,0,0,0,0,0
MSFT,2023-06-05,0.3576,335.94,0.0016,1,0,1,0,0,0
MSFT,2023-06-08,0.4371,325.26,0.0058,1,0,0,0,0,0
MSFT,2023-06-13,0.3529,334.29,0.0074,2,1,0,0,0,0
MSFT,2023-06-14,0.2868,337.34,0.0091,1,1,0,0,0,0
MSFT,2023-06-16,0.5531,342.33,-0.0166,1,1,0,0,0,0
MSFT,2023-06-21,0.4146,333.56,-0.0133,1,1,0,0,0,0
MSFT,2023-06-22,0.3208,339.71,0.0184,1,0,1,0,0,0
MSFT,2023-06-23,0.5464,335.02,-0.0138,1,1,0,0,0,0
MSFT,2023-06-27,0.1988,334.57,0.0182,1,0,1,0,0,0
MSFT,2023-06-29,0.5022,335.05,-0.0024,1,0,1,0,0,0
MSFT,2023-07-03,0.1466,337.99,-0.0075,1,0,0,0,1,0
MSFT,2023-07-10,0.3954,331.83,-0.016,1,1,0,0,0,0
MSFT,2023-07-14,0.1223,345.24,0.0075,1,1,0,0,0,0
MSFT,2023-07-17,0.0916,345.73,0.0014,1,0,0,0,0,0
MSFT,2023-07-18,0.32480000000000003,359.49,0.0398,4,3,1,0,0,0
MSFT,2023-07-19,0.3129,355.08,-0.0123,1,1,0,0,0,0
MSFT,2023-07-20,0.11356666666666666,346.87,-0.0231,3,2,0,0,0,0
MSFT,2023-07-24,0.2035,345.11,0.0039,1,1,0,0,0,0
MSFT,2023-07-25,0.4169,350.98,0.017,3,3,0,0,0,0
MSFT,2023-08-10,0.371,322.93,0.0022,1,1,0,0,0,0
MSFT,2023-08-25,0.45755,322.98,0.0094,2,1,0,1,0,0
MSFT,2023-08-28,0.3988,323.7,0.0022,1,1,0,0,0,0
MSFT,2023-08-29,-0.1041,328.41,0.0146,1,1,0,0,0,0
MSFT,2023-08-30,0.1825,328.79,0.0012,1,0,0,1,0,0
MSFT,2023-09-07,0.06485,329.91,-0.0089,2,1,0,0,1,0
MSFT,2023-09-11,0.03185,337.94,0.011,2,0,1,1,0,0
MSFT,2023-09-12,0.449,331.77,-0.0183,1,0,0,0,1,0
MSFT,2023-09-13,0.3686,336.06,0.0129,1,1,0,0,0,0
MSFT,2023-09-14,0.378,338.7,0.0079,4,1,3,0,0,0
MSFT,2023-09-15,0.204,330.22,-0.025,1,0,0,1,0,0
MSFT,2023-09-18,0.3036,329.06,-0.0035,1,0,1,0,0,0
MSFT,2023-09-22,0.1244,317.01,-0.0079,1,0,1,0,0,0
MSFT,2023-09-25,0.7223,317.54,0.0017,1,1,0,0,0,0
MSFT,2023-09-26,0.40190000000000003,312.14,-0.017,2,0,2,0,0,0
MSFT,2023-09-28,0.01,313.64,0.0027,1,0,0,0,1,0
MSFT,2023-10-12,-0.1352,331.16,-0.0038,1,0,0,0,0,0
MSFT,2023-10-18,0.2745,330.11,-0.0059,1,0,1,0,0,0
MSFT,2023-10-19,0.3458,331.32,0.0037,1,1,0,0,0,0
MSFT,2023-10-25,0.3317,340.67,0.0307,1,0,0,0,0,1
MSFT,2023-10-27,0.3181,329.81,0.0059,1,1,0,0,0,0
MSFT,2023-10-31,0.144,338.11,0.0024,1,1,0,0,0,0
